10@@
1010@@
1015@@
1020@@
1025@@
1030@@
1035@@
1040@@
15@876@
1510@@
1515@@
1520@877;878;879;880@
20@881@
2010@882@
2015@@
2020@883@
2021@890@
2024@@
2025@893@
2027@@
2029@@
2030@895;896@
2033@897@
2035@898@
2040@899@
2045@902@
2050@935@
2055@954@
25@966@
2510@967@
2515@972@
30@976@
3010@977@
3015@983@
35@984@
3510@985@
3515@986@
3520@987@
3525@988@
3530@992@
3535@993@
40@1001@
4010@@
4015@1002@
4020@1049@
4025@1056@
4030@1071@
45@1114@
4510@1115@
4515@1118@
4520@1136@
50@1144@
5010@1145@
5015@1148@
55@1156@
5510@1157@
5515@@
60@1158@
6010@1159@
6015@1160@
6020@1165@
6025@1170@
6030@1175@
6035@1182@
6040@1187@
6045@1190@
6050@1200@
6055@1196@
65@1201@
6510@1202@
6515@1203@
6520@1204@
6525@1222@
6530@1231@
6535@1244@
6540@1247@
6545@1249@
70@@
7010@@
7015@@
7020@@
7025@@
7030@@
7035@@
7040@@
7045@@
