10@338
1010@
1015@339
1020@
1025@
1030@
1035@
1040@
15@382
1510@
1515@
1520@383;384;385
20@300
2010@301
2015@
2020@302
2021@303
2024@
2025@304
2027@
2029@
2030@306
2033@307
2035@308
2040@309
2045@310
2050@311
2055@317
25@322
2510@323
2515@327
30@333
3010@334
3015@337
35@340
3510@341
3515@344
3520@345
3525@346
3530@347
3535@353
40@359
4010@
4015@360
4020@361
4025@362
4030@369
45@377
4510@378
4515@380
4520@381
50@389
5010@391
5015@395;390
55@
5510@
5515@
60@402
6010@403
6015@404
6020@407
6025@410
6030@416
6035@
6040@417
6045@418
6050@
6055@422
65@423
6510@424
6515@425
6520@426
6525@437
6530@438
6535@441
6540@444
6545@445
70@
7010@
7015@
7020@
7025@
7030@
7035@
7040@
7045@
