10@@
1010@Nouveauté;0.0;0.2@
1015@0.1@
1020@@
1025@ENC A;ENC B@
1030@0.6;ENC D@
1035@90@
1040@3.2;3.3@
15@@
1510@0(@
1515@@
1520@024;03;07;09;793@
20@@
2010@7(07);7(084);7(091);75(07);73(07)@
2015@ 704-7(03);704-7(06);704-7(076);704-7(082);704-7(091);704-8(03);704-8(06);704-8(07);704-8(076);704-8(082);704-8(091);704-8(092);704-9(07);704-9(092)@
2020@70"11";70"12";70"13";70"14";70"15";70"16";70"17";70"18"@
2021@70"19";70"20"@
2024@7.3(4;7.3(5;7.3(6;7.3(7;7.3(8;7.3(9@
2025@72@
2027@75@
2029@73@
2030@74@743.9
2033@743.9@
2035@RG;AL;MA;765;768@
2040@77@
2045@791@
2050@78@
2055@79[espace];790;792@
25@@
2510@@
2515@34;35;36;EMP D@
30@@
3010@33@
3015@65@
35@@
3510@929;93[espace];93;HG US CHRO@
3515@931;93.2;932;934;935;936;937;938@
3520@930.6;940.5;940.6 @
3525@930.7;940.7@
3530@944;929(44)@
3535@940[espace];940(0;940.1;940.3;940.4;941;942;943;945;946;947;948;949;95;96;97;98;99@
40@@
4010@82[espace];82.;821(0);823(0);825(0);829.4(0);829.9(0);83[espace];83.;839.31(0);839.5(0);839.6(0);839.7(0);839.8(0);839.9(0);84[espace];84.;841(0);843(0);848(0);849(0);85[espace];85.;852(0);859(0);86[espace];86.;862(0);863(0);864(0);869(0);870[espace];870.;874[espace];874.;894.5[espace]@
4015@80@
4020@81@
4025@8.20;8.3;8.4;8.5;8.6;8.8;8.9;840;841[espace];842[espace];843[espace];845;846;848[espace];849[espace];8 CNL@
4030@82(0);820;821;823;830;850;851;860;865;868.00;821;823;825;826;827;829;831;839.31[espace];839.32;839.33;839.33;841-;842.8;843-@;852[espace];859[espace];861;862[espace];863;864;868;87[espace];87-;871;873;875;876;877;88[espace];882;883;884;885;886;887;888;889;890;891.1;891.2;892.5;892;893;894[espace];894.35;894.51;895;897;898@86.4;86.5;821(0);823(0);825(0)
45@@
4510@64;794;635.1;635.9@
4515@796;797;798;799@
4520@795;PRA H@
50@@
5010@1(;1";10;11;13;14;16;17;18@
5015@2;19@
55@@
5510@EMP A;EMP B@
5515@EMP C@
60@@
6010@5(0;5.1;5.3;50@
6015@51;53;54@
6020@52;55@
6025@56;57;58;59@
6030@61@
6035@62[espace];62(;62.;620;621;622;623;624;626;627;628@
6040@63@
6045@629@
6050@681@
6055@66;67;639@
65@@
6510@3(@
6515@15;616.8@
6520@30;31@
6525@39@
6530@32@
6535@37;38@
6540@020;021;022;03@
6545@91;HG US ATL@
70@@
7010@0.7@
7015@PRA B@
7020@PRA C@
7025@PRA F@
7030@PRA D@
7035@PRA A@
7040@PRA G@
7045@PRA H@
